k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,f5,f6,f7,f8,f9,Phi11,Phi12,Phi13,Phi14,Phi21,Phi22,Phi23,Phi24,Phi31,Phi32,Phi33,Phi34,Phi41,Phi42,Phi43,Phi44,Phi51,Phi52,Phi53,Phi54,Phi61,Phi62,Phi63,Phi64,Phi71,Phi72,Phi73,Phi74,Phi81,Phi82,Phi83,Phi84,Phi91,Phi92,Phi93,Phi94
0.98685,1,1,1,1,1,1,1,1,1,51.867,279.76,461.8,614.08,688.71,922.3,960.88,1227.2,1282.4,-0.54812,0.29558,0.29562,-0.5479,-0.32327,0.031395,0.03182,-0.32346,-0.21479,-0.43274,0.4323,0.21531,-0.00049643,-0.0014961,0.0014257,0.00079367,-0.11017,-0.43161,-0.43054,-0.1103,-0.0038245,-0.010609,-0.00060561,0.0024506,0.0062922,-0.05138,0.038801,-0.0091897,0.0023151,0.010048,0.0052533,0.00025251,-0.073821,-0.43699,-0.49001,-0.095013
1.073,1,1,1,1,1,1,1,1,1,51.869,279.92,462.37,614.67,690.14,924.09,963.98,1231,1286.5,-0.54808,0.29557,0.29564,-0.54792,0.32354,-0.032461,-0.031263,0.32355,0.21637,0.43172,-0.43357,-0.21525,0.00042573,0.0015042,-0.0012662,-0.00074013,0.11431,0.43532,0.42968,0.10994,0.0037334,0.010488,0.00069112,-0.0024516,-0.014218,0.042018,-0.044613,0.0080545,0.0022638,0.010832,0.0054764,0.00020629,0.063585,0.43327,0.49247,0.095884
0.6006,1,1,1,1,1,1,1,1,1,51.855,278.53,457.43,609.14,677.82,906.55,938,1193.8,1253.5,0.54839,-0.29564,-0.29547,0.54777,-0.32086,0.02344,0.035971,-0.32274,-0.20162,-0.43994,0.42243,0.21575,0.0013224,0.0013107,-0.0032699,-0.0014099,0.076338,0.40169,0.43631,0.11291,-0.0061815,-0.01413,-0.00080174,0.0021838,0.054565,0.11932,0.0037183,0.017533,9.2653e-05,-0.00010144,0.00018075,0.00010164,0.14738,0.45579,0.47,0.088648
0.68087,1,1,1,1,1,1,1,1,1,51.859,278.89,458.71,610.67,681.02,911.57,944.54,1204.3,1261.5,0.54831,-0.29562,-0.29552,0.5478,-0.32163,0.02575,0.034768,-0.32296,0.20568,0.43794,-0.42536,-0.21563,-0.0010209,-0.0013881,0.0026031,0.0011885,-0.08663,-0.41076,-0.43475,-0.11216,-0.0051075,-0.012543,-0.00053564,0.0023259,0.036856,0.10014,-0.0083709,0.015151,-0.0010626,-0.0033913,-0.0017677,-7.4833e-05,-0.12692,-0.45191,-0.476,-0.090453
1.3163,1,1,1,1,1,1,1,1,1,51.872,280.29,463.63,615.91,693.23,927.76,970.76,1238.7,1295.6,-0.54799,0.29555,0.29568,-0.54796,-0.32408,0.034803,0.030035,-0.32374,-0.21967,-0.42941,0.43634,0.21511,-0.00029653,-0.0015118,0.00097255,0.00064305,-0.12299,-0.44319,-0.42773,-0.10914,0.0036382,0.010418,0.00092178,-0.0024451,-0.031145,0.021453,-0.057368,0.0055618,0.0018958,0.011934,0.0053753,-2.7195e-06,0.041261,0.42409,0.49759,0.097791
0.88194,1,1,1,1,1,1,1,1,1,51.865,279.52,460.96,613.2,686.63,919.58,956.4,1221.4,1276.5,0.54817,-0.29559,-0.29559,0.54787,-0.32286,0.029853,0.032627,-0.32333,0.21242,0.43421,-0.43043,-0.2154,-0.00061336,-0.001478,0.0016892,0.00088233,0.104,0.42612,0.43174,0.11081,-0.0040252,-0.010904,-0.00051249,0.0024401,0.0053551,0.064879,-0.030408,0.01083,0.0022331,0.008604,0.004642,0.00026696,-0.088599,-0.44186,-0.48633,-0.093755
0.85354,1,1,1,1,1,1,1,1,1,51.864,279.45,460.7,612.92,685.99,918.72,955.02,1219.5,1274.7,-0.54819,0.29559,0.29558,-0.54786,-0.32272,0.029379,0.032875,-0.32329,0.21167,0.43465,-0.42985,-0.21543,-0.00065305,-0.0014708,0.0017786,0.00091241,-0.10206,-0.42439,-0.43211,-0.11097,-0.0041062,-0.011026,-0.00049276,0.0024341,0.0089729,0.069016,-0.027832,0.011334,0.0021681,0.0080908,0.0043907,0.00025989,0.093124,0.44324,0.48517,0.093369
0.59085,1,1,1,1,1,1,1,1,1,51.855,278.48,457.25,608.92,677.37,905.83,937.11,1192.3,1252.4,0.5484,-0.29564,-0.29547,0.54776,-0.32076,0.023121,0.036136,-0.32271,0.20105,0.44021,-0.42202,-0.21577,0.0013686,0.0012986,-0.0033711,-0.0014434,-0.074895,-0.40041,-0.43652,-0.11301,-0.0063601,-0.01439,-0.00085634,0.002159,0.05699,0.12192,0.0053616,0.017858,-0.00026886,-0.00034388,-0.0004444,-0.00012595,0.15012,0.45623,0.46917,0.088403
0.74883,1,1,1,1,1,1,1,1,1,51.861,279.14,459.6,611.69,683.23,914.85,949.16,1211.3,1267.2,0.54826,-0.29561,-0.29554,0.54783,0.32213,-0.027356,-0.033931,0.3231,0.20839,0.43651,-0.42736,-0.21554,-0.00084334,-0.0014307,0.0022062,0.0010559,-0.093579,-0.41689,-0.43361,-0.11163,0.0045726,0.011736,0.00046884,-0.002389,-0.024491,-0.08649,0.016925,-0.013471,0.0016789,0.0056054,0.0030496,0.00017983,-0.11217,-0.44848,-0.48011,-0.091734
1.2786,1,1,1,1,1,1,1,1,1,51.872,280.24,463.46,615.75,692.82,927.29,969.86,1237.7,1294.4,0.548,-0.29556,-0.29568,0.54795,-0.32401,0.03449,0.030199,-0.32372,0.21925,0.42972,-0.43597,-0.21513,0.0003118,0.0015114,-0.0010076,-0.00065444,-0.12187,-0.44216,-0.428,-0.10925,-0.0036439,-0.010413,-0.00088836,0.0024462,-0.028935,0.024187,-0.055673,0.0058935,0.0019617,0.011834,0.0054344,3.3422e-05,-0.044209,-0.42539,-0.49693,-0.097538
