k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,Phi11,Phi12,Phi13,Phi14,Phi21,Phi22,Phi23,Phi24,Phi31,Phi32,Phi33,Phi34,Phi41,Phi42,Phi43,Phi44
1.0304,1,1,1,1,1,1,1,1,1,51.821,142.87,279.84,462.1,-0.62154,0.33646,0.33618,-0.62247,-0.49301,0.50658,-0.50701,0.49322,-0.71037,0.043735,0.049388,-0.70073,0.31353,0.62992,-0.63636,-0.31614
1.1361,1,1,1,1,1,1,1,1,1,51.824,142.91,280.02,462.75,-0.6215,0.33645,0.33622,-0.62249,-0.49288,0.50674,-0.50698,0.49321,-0.71031,0.04646,0.048157,-0.70071,0.31575,0.62758,-0.63778,-0.31571
1.2417,1,1,1,1,1,1,1,1,1,51.826,142.93,280.18,463.29,-0.62146,0.33645,0.33624,-0.62252,-0.49281,0.50685,-0.50696,0.49319,-0.7098,0.050646,0.048479,-0.7009,0.31756,0.6256,-0.639,-0.31536
0.53196,1,1,1,1,1,1,1,1,1,51.795,142.6,278.12,456.05,-0.62194,0.33644,0.33588,-0.62225,-0.49503,0.5048,-0.50714,0.49288,-0.71065,0.005087,0.047593,-0.70192,0.28981,0.65142,-0.62358,-0.32065
0.71515,1,1,1,1,1,1,1,1,1,51.808,142.74,279,459.18,-0.62172,0.33647,0.33604,-0.62236,-0.49415,0.50551,-0.50719,0.49299,-0.7107,0.026001,0.049876,-0.70124,0.30268,0.64042,-0.63007,-0.31822
1.1543,1,1,1,1,1,1,1,1,1,51.824,142.91,280.05,462.85,-0.62149,0.33645,0.33622,-0.6225,-0.49286,0.50677,-0.50697,0.49321,-0.71013,0.047218,0.048186,-0.70083,0.31608,0.62722,-0.63801,-0.31565
0.59112,1,1,1,1,1,1,1,1,1,51.8,142.65,278.46,457.26,-0.62185,0.33645,0.33594,-0.62229,-0.49484,0.50496,-0.50719,0.49286,-0.71066,0.01457,0.049763,-0.70162,0.29491,0.64721,-0.62605,-0.31969
0.82242,1,1,1,1,1,1,1,1,1,51.814,142.79,279.35,460.4,-0.62164,0.33647,0.3361,-0.6224,-0.4936,0.50598,-0.50713,0.49312,-0.71023,0.034422,0.050548,-0.70131,0.30738,0.63604,-0.63267,-0.31732
0.95773,1,1,1,1,1,1,1,1,1,51.819,142.85,279.69,461.59,-0.62157,0.33646,0.33616,-0.62244,-0.49315,0.50642,-0.50704,0.4932,-0.70968,0.041263,0.049887,-0.70154,0.3117,0.63179,-0.63523,-0.31649
1.0758,1,1,1,1,1,1,1,1,1,51.822,142.89,279.92,462.39,-0.62152,0.33646,0.3362,-0.62248,-0.49294,0.50666,-0.50699,0.49322,-0.71065,0.044561,0.048599,-0.70045,0.31454,0.62887,-0.637,-0.31595
1.6132,1,1,1,1,1,1,1,1,1,51.833,143,280.59,464.7,-0.62137,0.33642,0.33631,-0.62258,-0.49274,0.507,-0.50698,0.49308,-0.70984,0.057716,0.046595,-0.70045,0.32199,0.62049,-0.64219,-0.3145
0.57725,1,1,1,1,1,1,1,1,1,51.799,142.64,278.38,457,-0.62187,0.33645,0.33593,-0.62228,-0.4949,0.50491,-0.50718,0.49286,-0.71007,0.01373,0.050192,-0.7022,0.29382,0.64813,-0.62551,-0.31989
0.73581,1,1,1,1,1,1,1,1,1,51.809,142.75,279.07,459.44,-0.62171,0.33647,0.33606,-0.62237,-0.49403,0.50561,-0.50718,0.49302,-0.71035,0.027584,0.049774,-0.70154,0.3037,0.63949,-0.63062,-0.31802
0.88882,1,1,1,1,1,1,1,1,1,51.816,142.82,279.53,461.03,-0.62161,0.33647,0.33613,-0.62242,-0.49334,0.50622,-0.50708,0.49317,-0.71043,0.036744,0.049318,-0.70107,0.30968,0.63381,-0.63401,-0.31688
0.77773,1,1,1,1,1,1,1,1,1,51.812,142.77,279.21,459.93,-0.62167,0.33647,0.33608,-0.62238,-0.49381,0.5058,-0.50715,0.49307,-0.70961,0.031893,0.05067,-0.70204,0.30559,0.63774,-0.63166,-0.31766
0.64501,1,1,1,1,1,1,1,1,1,51.804,142.69,278.72,458.18,-0.62179,0.33646,0.33599,-0.62232,-0.49456,0.50518,-0.5072,0.4929,-0.70964,0.021053,0.050394,-0.70244,0.29869,0.64398,-0.62796,-0.31897
0.63966,1,1,1,1,1,1,1,1,1,51.804,142.69,278.69,458.09,-0.62179,0.33646,0.33599,-0.62232,-0.49459,0.50516,-0.5072,0.4929,-0.70975,0.020213,0.050133,-0.70237,0.29834,0.64428,-0.62778,-0.31904
1.1939,1,1,1,1,1,1,1,1,1,51.825,142.92,280.11,463.06,-0.62148,0.33645,0.33623,-0.62251,-0.49284,0.50681,-0.50697,0.4932,-0.70984,0.048915,0.048359,-0.70099,0.31678,0.62646,-0.63847,-0.31551
0.83685,1,1,1,1,1,1,1,1,1,51.814,142.8,279.39,460.55,-0.62164,0.33647,0.33611,-0.62241,-0.49354,0.50604,-0.50712,0.49313,-0.71048,0.034799,0.050202,-0.70106,0.30791,0.63553,-0.63298,-0.31722
0.96481,1,1,1,1,1,1,1,1,1,51.819,142.85,279.7,461.64,-0.62157,0.33646,0.33616,-0.62245,-0.49313,0.50644,-0.50704,0.4932,-0.70969,0.04165,0.049927,-0.7015,0.3119,0.6316,-0.63535,-0.31646
1.2228,1,1,1,1,1,1,1,1,1,51.826,142.93,280.15,463.2,-0.62147,0.33645,0.33624,-0.62251,-0.49282,0.50683,-0.50696,0.49319,-0.70977,0.050028,0.048462,-0.70098,0.31726,0.62594,-0.6388,-0.31542
1.1045,1,1,1,1,1,1,1,1,1,51.823,142.9,279.97,462.57,-0.62151,0.33646,0.33621,-0.62249,-0.49291,0.5067,-0.50698,0.49321,-0.71056,0.045323,0.048274,-0.70051,0.31513,0.62824,-0.63738,-0.31583
0.44915,1,1,1,1,1,1,1,1,1,51.786,142.5,277.5,453.88,-0.6221,0.33642,0.33574,-0.62216,-0.49504,0.50466,-0.50709,0.49306,-0.71054,-0.011843,0.04402,-0.70218,0.28017,0.65888,-0.61918,-0.32248
1.0918,1,1,1,1,1,1,1,1,1,51.823,142.89,279.95,462.49,-0.62151,0.33646,0.3362,-0.62248,-0.49292,0.50668,-0.50699,0.49321,-0.71062,0.044954,0.048392,-0.70047,0.31487,0.62851,-0.63722,-0.31588
0.28272,1,1,1,1,1,1,1,1,1,51.77,142.17,274.26,446.04,-0.62262,0.33631,0.33527,-0.62197,-0.4968,0.50263,-0.50753,0.49291,-0.54359,-0.52836,-0.46919,-0.453,0.24133,0.68359,-0.60463,-0.32998
0.92879,1,1,1,1,1,1,1,1,1,51.818,142.84,279.62,461.36,-0.62159,0.33647,0.33615,-0.62244,-0.49322,0.50634,-0.50706,0.49319,-0.70985,0.039397,0.049587,-0.7015,0.31089,0.63261,-0.63474,-0.31665
0.87719,1,1,1,1,1,1,1,1,1,51.816,142.82,279.5,460.92,-0.62161,0.33647,0.33613,-0.62242,-0.49338,0.50618,-0.50709,0.49316,-0.71057,0.036135,0.049389,-0.70096,0.3093,0.63418,-0.63379,-0.31695
1.5486,1,1,1,1,1,1,1,1,1,51.832,142.99,280.53,464.49,-0.62139,0.33642,0.3363,-0.62257,-0.49275,0.50699,-0.50697,0.49309,-0.71008,0.056151,0.046497,-0.70033,0.32138,0.62123,-0.64173,-0.31462
0.79776,1,1,1,1,1,1,1,1,1,51.813,142.78,279.28,460.15,-0.62166,0.33647,0.33609,-0.62239,-0.49371,0.50588,-0.50714,0.49309,-0.70976,0.033385,0.050851,-0.70181,0.30642,0.63696,-0.63213,-0.31751
0.80794,1,1,1,1,1,1,1,1,1,51.813,142.79,279.31,460.26,-0.62165,0.33647,0.3361,-0.62239,-0.49366,0.50592,-0.50714,0.4931,-0.70994,0.033903,0.050789,-0.70161,0.30682,0.63657,-0.63236,-0.31743
1.0044,1,1,1,1,1,1,1,1,1,51.82,142.87,279.78,461.93,-0.62155,0.33646,0.33618,-0.62246,-0.49305,0.50653,-0.50702,0.49321,-0.71005,0.043181,0.049777,-0.70106,0.31291,0.63056,-0.63597,-0.31626
1.0575,1,1,1,1,1,1,1,1,1,51.822,142.88,279.89,462.28,-0.62153,0.33646,0.33619,-0.62247,-0.49297,0.50663,-0.507,0.49322,-0.7106,0.0442,0.048897,-0.70051,0.31414,0.62928,-0.63675,-0.31602
0.70983,1,1,1,1,1,1,1,1,1,51.808,142.73,278.98,459.11,-0.62173,0.33647,0.33604,-0.62235,-0.49418,0.50548,-0.50719,0.49298,-0.71071,0.025719,0.049995,-0.70123,0.30241,0.64067,-0.62992,-0.31827
1.1141,1,1,1,1,1,1,1,1,1,51.823,142.9,279.99,462.62,-0.62151,0.33646,0.33621,-0.62249,-0.4929,0.50672,-0.50698,0.49321,-0.7105,0.04564,0.048212,-0.70056,0.31532,0.62804,-0.63751,-0.31579
1.2189,1,1,1,1,1,1,1,1,1,51.826,142.93,280.15,463.18,-0.62147,0.33645,0.33624,-0.62251,-0.49282,0.50683,-0.50696,0.49319,-0.70978,0.049888,0.048453,-0.70099,0.3172,0.62601,-0.63875,-0.31543
1.2663,1,1,1,1,1,1,1,1,1,51.827,142.94,280.21,463.41,-0.62146,0.33644,0.33625,-0.62252,-0.4928,0.50687,-0.50696,0.49318,-0.70991,0.051305,0.048422,-0.70075,0.31794,0.62519,-0.63926,-0.31529
1.1839,1,1,1,1,1,1,1,1,1,51.825,142.92,280.1,463,-0.62148,0.33645,0.33623,-0.6225,-0.49284,0.5068,-0.50697,0.4932,-0.7099,0.048494,0.048311,-0.70097,0.31661,0.62665,-0.63836,-0.31555
